Date,PSN.L,SMT.L
2009-03-18,333.37481689453125,66.98368835449219
2009-03-19,347.5240783691406,66.78402709960938
2009-03-20,352.4886169433594,67.88211059570312
2009-03-23,359.93560791015625,70.07832336425781
2009-03-24,358.6944274902344,70.3778076171875
2009-03-25,353.4815368652344,69.878662109375
2009-03-26,352.4886169433594,70.27796936035156
2009-03-27,336.6018371582031,71.87520599365234
2009-03-30,329.6513671875,67.68250274658203
2009-03-31,343.055908203125,70.47763061523438
2009-04-01,358.4461975097656,69.878662109375
2009-04-02,399.9008483886719,71.77537536621094
2009-04-03,395.4327087402344,72.47415161132812
2009-04-06,405.8584899902344,72.72373962402344
2009-04-07,394.4397888183594,71.67554473876953
2009-04-08,398.1632995605469,71.92512512207031
2009-04-09,407.099609375,72.92337799072266
2009-04-14,408.58905029296875,73.27275085449219
2009-04-15,385.0069885253906,75.26933288574219
2009-04-16,387.2410888671875,77.86480712890625
2009-04-17,386.9928894042969,78.51367950439453
2009-04-20,365.3966979980469,76.86653137207031
2009-04-21,376.8153381347656,76.2675552368164
2009-04-22,392.2056884765625,76.6668701171875
2009-04-23,389.2269287109375,77.41560363769531
2009-04-24,394.4397888183594,81.05925750732422
2009-04-27,388.2340087890625,80.8595962524414
2009-04-28,363.6590270996094,80.46029663085938
2009-04-29,367.6307678222656,80.36045837402344
2009-04-30,379.7940979003906,82.20726013183594
2009-05-01,376.0706481933594,82.55665588378906
2009-05-05,402.3831481933594,85.45162963867188
2009-05-06,388.9786682128906,87.19860076904297
2009-05-07,398.41143798828125,86.250244140625
2009-05-08,393.4468994140625,87.34834289550781
2009-05-11,372.3471984863281,85.55144500732422
2009-05-12,377.8081970214844,85.45162963867188
2009-05-13,344.5452575683594,83.45511627197266
2009-05-14,356.46044921875,81.85787963867188
2009-05-15,364.6519775390625,82.65650177001953
2009-05-18,368.3754577636719,83.95420837402344
2009-05-19,376.31890869140625,85.70120239257812
2009-05-20,375.32598876953125,87.0488510131836
2009-05-21,369.6165771484375,84.70292663574219
2009-05-22,369.1202392578125,84.3535385131836
2009-05-26,357.45330810546875,83.75456237792969
2009-05-27,356.956787109375,83.60482788085938
2009-05-28,343.055908203125,83.35525512695312
2009-05-29,361.42498779296875,83.8543930053711
2009-06-01,379.0494384765625,88.79582214355469
2009-06-02,387.9857177734375,88.04712677001953
2009-06-03,387.2410888671875,84.66356658935547
2009-06-04,387.4892883300781,84.06452178955078
2009-06-05,393.69512939453125,86.6603775024414
2009-06-08,390.46795654296875,86.6603775024414
2009-06-09,386.7445373535156,86.5605239868164
2009-06-10,403.3760986328125,85.76179504394531
2009-06-11,399.4043884277344,85.61204528808594
2009-06-12,387.2410888671875,85.46228790283203
2009-06-15,369.36846923828125,82.2674560546875
2009-06-16,361.6732482910156,82.0677490234375
2009-06-17,356.46044921875,80.27064514160156
2009-06-18,349.7582092285156,79.82137298583984
2009-06-19,361.9214172363281,79.87129211425781
2009-06-22,356.956787109375,77.27548217773438
2009-06-23,349.7582092285156,76.72637176513672
2009-06-24,347.2757568359375,78.47354125976562
2009-06-25,350.5028381347656,78.17403411865234
2009-06-26,345.5382080078125,78.1241226196289
2009-06-29,345.04168701171875,79.82137298583984
2009-06-30,347.5240783691406,78.5733642578125
2009-07-01,352.7368469238281,81.1192626953125
2009-07-02,350.9993896484375,79.87129211425781
2009-07-03,355.9638366699219,80.17080688476562
2009-07-06,360.68035888671875,78.47354125976562
2009-07-07,387.4892883300781,78.07416534423828
2009-07-08,383.02117919921875,75.27871704101562
2009-07-09,386.7445373535156,77.52507781982422
2009-07-10,377.0635681152344,75.57820129394531
2009-07-13,386.24810791015625,76.42684936523438
2009-07-14,398.1632995605469,77.1257095336914
2009-07-15,402.13494873046875,79.92119598388672
2009-07-16,398.1632995605469,81.56855010986328
2009-07-17,414.0500793457031,83.31575012207031
2009-07-20,420.5041198730469,83.41558074951172
2009-07-21,421.24871826171875,85.61204528808594
2009-07-22,424.4757995605469,86.01139831542969
2009-07-23,431.1780700683594,87.10963439941406
2009-07-24,435.14971923828125,86.76017761230469
2009-07-27,424.4757995605469,86.4606704711914
2009-07-28,412.064208984375,85.51219940185547
2009-07-29,411.0712890625,85.06292724609375
2009-07-30,443.589599609375,87.05970764160156
2009-07-31,447.0647277832031,88.15794372558594
2009-08-03,458.4338684082031,89.15633392333984
2009-08-04,454.85931396484375,90.25456237792969
2009-08-05,461.6112060546875,89.7553939819336
2009-08-06,485.5407409667969,90.6539077758789
2009-08-07,475.61138916015625,90.85359954833984
2009-08-10,473.6255798339844,91.0532455444336
2009-08-11,462.8027648925781,90.15473175048828
2009-08-12,460.71759033203125,90.35440063476562
2009-08-13,479.4839172363281,91.35279083251953
2009-08-14,499.9381408691406,90.4542465209961
2009-08-17,479.0867004394531,88.35762023925781
2009-08-18,477.5972900390625,88.25776672363281
2009-08-19,473.5263366699219,89.39594268798828
2009-08-20,495.96649169921875,90.97339630126953
2009-08-21,497.45587158203125,93.708984375
2009-08-24,514.8320922851562,96.28484344482422
2009-08-25,507.8815612792969,95.64588165283203
2009-08-26,488.32086181640625,95.04683685302734
2009-08-27,475.3135986328125,93.84878540039062
2009-08-28,488.7180480957031,95.24649810791016
2009-09-01,468.2638244628906,90.05489349365234
2009-09-02,462.10760498046875,88.7569808959961
2009-09-03,471.9376220703125,89.65550231933594
2009-09-04,486.63299560546875,91.0532455444336
2009-09-07,497.45587158203125,92.53089141845703
2009-09-08,506.888671875,93.24972534179688
2009-09-09,517.8107299804688,94.9469985961914
2009-09-10,505.8957214355469,94.34795379638672
2009-09-11,510.86029052734375,95.96536254882812
2009-09-14,507.3851623535156,94.62753295898438
2009-09-15,507.3851623535156,95.54605102539062
2009-09-16,504.40631103515625,98.2816390991211
2009-09-17,516.3214111328125,99.43975830078125
2009-09-18,502.4205017089844,99.59947967529297
2009-09-21,495.5692138671875,97.66263580322266
2009-09-22,485.6400146484375,99.83912658691406
2009-09-23,487.4272766113281,99.75927734375
2009-09-24,461.41259765625,99.2400894165039
2009-09-25,449.7953796386719,100.63782501220703
2009-09-28,465.5829162597656,100.63782501220703
2009-09-29,463.89495849609375,101.13704681396484
2009-09-30,453.1713562011719,100.23845672607422
2009-10-01,454.3627624511719,98.74088287353516
2009-10-02,437.7810363769531,97.12349700927734
2009-10-05,437.88031005859375,97.84231567382812
2009-10-06,451.7812805175781,99.6394271850586
2009-10-07,447.5116882324219,101.43655395507812
2009-10-08,457.24237060546875,102.43494415283203
2009-10-09,448.3060607910156,102.83428955078125
2009-10-12,459.0295715332031,104.23202514648438
2009-10-13,435.59649658203125,103.13380432128906
2009-10-14,446.61798095703125,104.83106994628906
2009-10-15,443.7385559082031,103.63300323486328
2009-10-16,446.61798095703125,103.43331909179688
2009-10-19,446.0223083496094,104.83106994628906
2009-10-20,442.14984130859375,103.53315734863281
2009-10-21,446.3201599121094,101.536376953125
2009-10-22,438.6746520996094,101.03718566894531
2009-10-23,439.9654541015625,102.83428955078125
2009-10-26,422.3905944824219,101.43655395507812
2009-10-27,419.9083251953125,101.73604583740234
2009-10-28,392.1064453125,98.74088287353516
2009-10-29,412.8586120605469,98.2416763305664
2009-10-30,400.5462341308594,97.4429702758789
2009-11-02,402.9293212890625,99.14022064208984
2009-11-03,380.5884704589844,95.84555053710938
2009-11-04,421.0005798339844,98.2416763305664
2009-11-05,410.97198486328125,99.53961181640625
2009-11-06,423.6815185546875,99.3998031616211
2009-11-09,421.4970397949219,101.03718566894531
2009-11-10,417.22735595703125,101.63621520996094
2009-11-11,432.0220642089844,102.34615325927734
2009-11-12,439.8660888671875,102.74554443359375
2009-11-13,456.84515380859375,102.34615325927734
2009-11-16,485.1435852050781,104.24329376220703
2009-11-17,484.84564208984375,102.44600677490234
2009-11-18,462.4056396484375,102.94525146484375
2009-11-19,446.3201599121094,101.04810333251953
2009-11-20,433.412109375,101.84690856933594
2009-11-23,441.5540771484375,103.04509735107422
2009-11-24,431.2276306152344,102.44600677490234
2009-11-25,414.84442138671875,103.24481201171875
2009-11-26,406.00732421875,100.54885864257812
2009-11-27,424.97222900390625,101.74703979492188
2009-11-30,410.67413330078125,100.14946746826172
2009-12-01,456.150146484375,102.74554443359375
2009-12-02,458.7317810058594,102.24629974365234
2009-12-03,470.4482116699219,103.14495086669922
2009-12-04,458.9302978515625,104.4430160522461
2009-12-07,441.8519287109375,103.24481201171875
2009-12-08,429.1425476074219,102.24629974365234
2009-12-09,419.9083251953125,101.04810333251953
2009-12-10,420.5041198730469,102.64569091796875
2009-12-11,422.2913818359375,102.24629974365234
2009-12-14,422.9864196777344,102.5458755493164
2009-12-15,413.05706787109375,102.64569091796875
2009-12-16,425.66729736328125,102.84540557861328
